Word,Lemmatized Noun,Lemmatized Adjective,Tag
daily,daily,daily,a
nothings,nothing,nothings,n
life,life,life,n
mail,mail,mail,n
groceries,grocery,groceries,n
clothes,clothes,clothes,n
maman,maman,maman,a
solace,solace,solace,n
church,church,church,n
testimony,testimony,testimony,n
group,group,group,n
week,week,week,n
skeleton,skeleton,skeleton,a
story,story,story,n
moments,moment,moments,n
acceptance,acceptance,acceptance,n
people,people,people,n
miracles,miracle,miracles,n
moral,moral,moral,a
police,police,police,n
maman,maman,maman,a
arrests,arrest,arrests,n
church,church,church,n
brutal,brutal,brutal,a
hijabi,hijabi,hijabi,n
schoolteachers,schoolteacher,schoolteachers,n
day,day,day,n
detail,detail,detail,n
baffles,baffle,baffles,n
ate,ate,ate,n
first,first,first,a
oklahoma,oklahoma,oklahoma,a
days,day,days,n
glass,glass,glass,n
bulgogi,bulgogi,bulgogi,a
intense,intense,intense,a
reds,red,reds,n
fridge,fridge,fridge,n
persian,persian,persian,a
rice,rice,rice,n
humbler,humbler,humble,n
show,show,show,n
new,new,new,a
country,country,country,n
inside,inside,inside,a
iranian,iranian,iranian,a
community,community,community,n
storm,storm,storm,n
schoolyard,schoolyard,schoolyard,n
teacher,teacher,teacher,n
ask,ask,ask,n
college,college,college,n
rahim,rahim,rahim,n
discount,discount,discount,n
grocery,grocery,grocery,n
sickly,sickly,sickly,a
onions,onion,onions,n
underfoot,underfoot,underfoot,a
tired,tired,tired,a
toilet,toilet,toilet,n
paper,paper,paper,n
flipped,flipped,flipped,a
front,front,front,n
top,top,top,a
fifty,fifty,fifty,n
lucky,lucky,lucky,a
land,land,land,n
dictes,dictes,dictes,n
school,school,school,n
place,place,place,n
blood,blood,blood,n
mural,mural,mural,a
class,class,class,n
rankings,ranking,rankings,n
riddles,riddle,riddles,n
girl,girl,girl,n
worthy,worthy,worthy,a
rival,rival,rival,a
itchy,itchy,itchy,n
angry,angry,angry,a
efore,efore,efore,a
police,police,police,n
kaweh,kaweh,kaweh,a
town,town,town,n
square,square,square,n
filthy,filthy,filthy,a
hungry,hungry,hungry,a
passersby,passersby,passersby,a
police,police,police,n
station,station,station,n
vast,vast,vast,a
clean,clean,clean,a
blond,blond,blond,n
officers,officer,officers,n
kaweh,kaweh,kaweh,n
god,god,god,a
buckingham,buckingham,buckingham,n
palace,palace,palace,n
questioned,questioned,questioned,a
separate,separate,separate,a
rooms,room,rooms,n
first,first,first,a
lorry,lorry,lorry,n
nothing,nothing,nothing,n
documents,document,documents,n
useless,useless,useless,a
illegal,illegal,illegal,a
border,border,border,n
crossings,crossing,crossings,n
lawyer,lawyer,lawyer,n
want,want,want,a
claim,claim,claim,n
asylum,asylum,asylum,n
night,night,night,n
slept,slept,slept,n
cell,cell,cell,n
refugee,refugee,refugee,n
iranian,iranian,iranian,a
authorities,authority,authorities,n
swear,swear,swear,n
kurdish,kurdish,kurdish,a
man,man,man,n
deport,deport,deport,n
kill,kill,kill,n
hours,hour,hours,n
front,front,front,a
old,old,old,a
building,building,building,n
dover,dover,dover,n
temporary,temporary,temporary,a
lodging,lodging,lodging,n
twenty,twenty,twenty,n
days,day,days,n
home,home,home,n
office,office,office,n
sorts,sort,sorts,n
term,term,term,n
housing,housing,housing,n
considers,considers,considers,n
claim,claim,claim,n
relief,relief,relief,n
palpable,palpable,palpable,a
camp,camp,camp,n
kaweh,kaweh,kaweh,n
lie,lie,lie,a
fear,fear,fear,n
iranian,iranian,iranian,a
intelligence,intelligence,intelligence,n
reporter,reporter,reporter,a
better,better,good,a
opportunist,opportunist,opportunist,a
night,night,night,n
clothes,clothes,clothes,n
hung,hung,hung,n
laundromat,laundromat,laundromat,a
naked,naked,naked,a
kaweh,kaweh,kaweh,n
young,young,young,a
solicitor,solicitor,solicitor,n
trainee,trainee,trainee,n
immigration,immigration,immigration,n
law,law,law,n
turkey,turkey,turkey,n
first,first,first,a
asylum,asylum,asylum,n
case,case,case,n
kaweh,kaweh,kaweh,n
room,room,room,n
roommate,roommate,roommate,n
brother,brother,brother,n
london,london,london,a
solicitor,solicitor,solicitor,n
kaweh,kaweh,kaweh,n
solicitor,solicitor,solicitor,n
phone,phone,phone,n
number,number,number,n
kaweh,kaweh,kaweh,n
case,case,case,n
money,money,money,n
bus,bus,bus,n
london,london,london,n
solicitor,solicitor,solicitor,n
interpreter,interpreter,interpreter,n
victoria,victoria,victoria,a
coach,coach,coach,n
station,station,station,n
home,home,home,n
night,night,night,n
case,case,case,n
complex,complex,complex,a
solicitor,solicitor,solicitor,n
busy,busy,busy,n
fifty,fifty,fifty,a
days,day,days,n
temporary,temporary,temporary,a
hostel,hostel,hostel,n
word,word,word,n
home,home,home,n
office,office,office,n
grow,grow,grow,n
hussein,hussein,hussein,n
nice,nice,nice,a
person,person,person,n
united,united,united,a
states,state,states,n
kaweh,kaweh,kaweh,a
english,english,english,a
uk,uk,uk,a
years,year,years,n
day,day,day,n
regret,regret,regret,n
arrogant,arrogant,arrogant,a
iranian,iranian,iranian,a
style,style,style,n
question,question,question,n
highlight,highlight,highlight,n
absurdity,absurdity,absurdity,n
wiser,wiser,wise,n
older,older,old,a
man,man,man,n
officer,officer,officer,n
saddam,saddam,saddam,n
brutal,brutal,brutal,a
dictator,dictator,dictator,n
kaweh,kaweh,kaweh,n
national,national,national,a
iranians,iranian,iranians,n
saddam,saddam,saddam,a
torture,torture,torture,n
iranian,iranian,iranian,a
authorities,authority,authorities,n
send,send,send,a
sweden,sweden,sweden,n
canada,canada,canada,a
fact,fact,fact,n
iranian,iranian,iranian,a
intelligence,intelligence,intelligence,n
officers,officer,officers,n
times,time,times,n
time,time,time,n
new,new,new,a
promises,promise,promises,n
definition,definition,definition,n
know,know,know,a
words,word,words,n
ross,ross,ross,n
use,use,use,a
sentence,sentence,sentence,n
rachel,rachel,rachel,n
emma,emma,emma,n
gleba,gleba,gleba,n
dictionary,dictionary,dictionary,a
ross,ross,ross,n
look,look,look,n
kaweh,kaweh,kaweh,n
stop,stop,stop,n
heard,heard,heard,a
death,death,death,n
return,return,return,n
home,home,home,n
everyone,everyone,everyone,n
bag,bag,bag,n
chips,chip,chips,n
ticket,ticket,ticket,n
deny,deny,deny,n
child,child,child,a
men,men,men,n
women,woman,women,n
brutal,brutal,brutal,a
regimes,regime,regimes,n
despair,despair,despair,a
man,man,man,n
hadi,hadi,hadi,a
home,home,home,n
camp,camp,camp,n
gathered,gathered,gathered,a
dinners,dinner,dinners,n
dozen,dozen,dozen,n
legal,legal,legal,a
illegal,illegal,illegal,a
iranians,iranian,iranians,n
nearby,nearby,nearby,a
ate,ate,ate,a
chickpea,chickpea,chickpea,n
cookies,cooky,cookies,n
pieces,piece,pieces,n
candy,candy,candy,n
sugar,sugar,sugar,n
cubes,cube,cubes,n
sat,sat,sat,a
cushions,cushion,cushions,n
home,home,home,n
speak,speak,speak,n
turkish,turkish,turkish,a
arabic,arabic,arabic,a
little,little,little,a
english,english,english,a
hadi,hadi,hadi,n
building,building,building,n
work,work,work,n
good,good,good,a
electrician,electrician,electrician,a
living,living,living,n
hadi,hadi,hadi,a
camp,camp,camp,n
sister,sister,sister,a
lawyer,lawyer,lawyer,n
child,child,child,n
mother,mother,mother,n
hopes,hope,hopes,n
perfect,perfect,perfect,a
dutch,dutch,dutch,a
english,english,english,n
western,western,western,a
lawyer,lawyer,lawyer,n
imagine,imagine,imagine,n
case,case,case,n
someone,someone,someone,n
man,man,man,n
restaurateur,restaurateur,restaurateur,n
case,case,case,n
kambiz,kambiz,kambiz,n
question,question,question,n
days,day,days,n
woman,woman,woman,n
angry,angry,angry,a
husband,husband,husband,n
menace,menace,menace,n
seph,seph,seph,a
door,door,door,n
threaten,threaten,threaten,a
life,life,life,n
enough,enough,enough,a
netherlands,netherlands,netherlands,n
authority,authority,authority,n
ind,ind,ind,n
asylum,asylum,asylum,n
interviewers,interviewer,interviewers,n
friends,friend,friends,n
woman,woman,woman,n
moral,moral,moral,a
police,police,police,n
door,door,door,n
ind,ind,ind,n
story,story,story,n
status,status,status,n
seeker,seeker,seeker,a
illegal,illegal,illegal,a
ind,ind,ind,n
case,case,case,n
welcome,welcome,welcome,a
camp,camp,camp,n
answer,answer,answer,a
start,start,start,n
life,life,life,n
present,present,present,a
ter,ter,ter,n
police,police,police,a
time,time,time,n
details,detail,details,n
affairs,affair,affairs,n
islamic,islamic,islamic,a
republic,republic,republic,a
clean,clean,clean,a
book,book,book,n
court,court,court,n
hague,hague,hague,n
self,self,self,a
pity,pity,pity,n
bouts,bout,bouts,a
complaining,complaining,complaining,n
something,something,something,n
new,new,new,a
case,case,case,n
long,long,long,a
time,time,time,n
friend,friend,friend,n
pouri,pouri,pouri,a
case,case,case,n
police,police,police,n
case,case,case,n
story,story,story,n
cell,cell,cell,n
year,year,year,n
detention,detention,detention,n
depressed,depressed,depressed,a
dream,dream,dream,a
death,death,death,n
unseen,unseen,unseen,a
country,country,country,n
wither,wither,wither,n
late,late,late,a
months,month,months,n
imprisonment,imprisonment,imprisonment,a
word,word,word,n
refugee,refugee,refugee,n
aid,aid,aid,n
kambiz,kambiz,kambiz,n
family,family,family,n
proper,proper,proper,a
legal,legal,legal,a
aid,aid,aid,n
schiphol,schiphol,schiphol,a
detention,detention,detention,n
centre,centre,centre,n
long,long,long,a
time,time,time,n
system,system,system,n
frank,frank,frank,a
van,van,van,a
haren,haren,haren,n
asylum,asylum,asylum,n
lawyer,lawyer,lawyer,n
visit,visit,visit,n
detention,detention,detention,n
centre,centre,centre,n
huge,huge,huge,a
boxy,boxy,boxy,n
building,building,building,n
schiphol,schiphol,schiphol,n
airport,airport,airport,n
security,security,security,n
guard,guard,guard,n
room,room,room,n
phone,phone,phone,n
open,open,open,a
case,case,case,n
kambiz,kambiz,kambiz,n
happy,happy,happy,a
van,van,van,a
haren,haren,haren,n
something,something,something,n
new,new,new,a
present,present,present,a
immigration,immigration,immigration,n
officers,officer,officers,n
case,case,case,n
kambiz,kambiz,kambiz,n
van,van,van,n
haren,haren,haren,n
lawyer,lawyer,lawyer,n
detention,detention,detention,n
iranian,iranian,iranian,a
passport,passport,passport,n
dug,dug,dug,n
old,old,old,a
friends,friend,friends,n
new,new,new,a
facts,fact,facts,n
documents,document,documents,n
various,various,various,a
journalistic,journalistic,journalistic,a
circles,circle,circles,n
take,take,take,n
case,case,case,n
kambiz,kambiz,kambiz,n
appeal,appeal,appeal,a
ter,ter,ter,n
time,time,time,n
proceedings,proceeding,proceedings,n
behalf,behalf,behalf,a
legal,legal,legal,a
aid,aid,aid,n
lawyer,lawyer,lawyer,n
duty,duty,duty,n
case,case,case,n
chance,chance,chance,n
negative,negative,negative,n
listen,listen,listen,a
die,die,die,n
grey,grey,grey,a
days,day,days,n
detention,detention,detention,n
parvis,parvis,parvis,n
late,late,late,a
nights,night,nights,n
tea,tea,tea,n
cold,cold,cold,a
come,come,come,n
let,let,let,n
new,new,new,a
lawyer,lawyer,lawyer,n
need,need,need,n
christian,christian,christian,a
case,case,case,n
wait,wait,wait,n
anyone,anyone,anyone,n
notice,notice,notice,a
question,question,question,n
manner,manner,manner,n
death,death,death,n
uneasy,uneasy,uneasy,a
kambiz,kambiz,kambiz,n
parvis,parvis,parvis,n
children,child,children,n
home,home,home,n
straight,straight,straight,a
police,police,police,n
process,process,process,n
victim,victim,victim,n
call,call,call,n
police,police,police,n
parvis,parvis,parvis,n
name,name,name,n
address,address,address,a
death,death,death,n
refugee,refugee,refugee,n
night,night,night,n
call,call,call,a
police,police,police,n
come,come,come,a
hospital,hospital,hospital,n
body,body,body,n
inside,inside,inside,a
nothing,nothing,nothing,n
next,next,next,a
day,day,day,n
police,police,police,n
kambiz,kambiz,kambiz,n
life,life,life,n
support,support,support,n
bag,bag,bag,n
kambiz,kambiz,kambiz,n
brother,brother,brother,n
law,law,law,n
illegal,illegal,illegal,a
living,living,living,n
room,room,room,n
painful,painful,painful,n
family,family,family,n
son,son,son,n
life,life,life,n
nothing,nothing,nothing,n
day,day,day,n
death,death,death,n
parvis,parvis,parvis,n
radio,radio,radio,a
station,station,station,n
refugee,refugee,refugee,n
media,medium,media,n
mistakes,mistake,mistakes,n
kambiz,kambiz,kambiz,a
story,story,story,n
van,van,van,a
haren,haren,haren,n
lawyer,lawyer,lawyer,n
parvis,parvis,parvis,a
asylum,asylum,asylum,n
centre,centre,centre,n
homeless,homeless,homeless,a
streets,street,streets,n
least,least,least,a
refugee,refugee,refugee,n
ind,ind,ind,n
immigration,immigration,immigration,n
asylum,asylum,asylum,n
minister,minister,minister,n
gerd,gerd,gerd,n
leers,leer,leers,n
roustayi,roustayi,roustayi,a
death,death,death,n
tragic,tragic,tragic,n
procedures,procedure,procedures,n
man,man,man,n
proper,proper,proper,a
legal,legal,legal,a
assistance,assistance,assistance,n
mayor,mayor,mayor,a
question,question,question,n
system,system,system,n
mayor,mayor,mayor,n
kambiz,kambiz,kambiz,n
purpose,purpose,purpose,a
family,family,family,n
progress,progress,progress,n
mornings,morning,mornings,n
van,van,van,a
haren,haren,haren,n
window,window,window,a
spot,spot,spot,n
dam,dam,dam,n
square,square,square,n
kambiz,kambiz,kambiz,n
alight,alight,alight,n
rescue,rescue,rescue,a
literary,literary,literary,a
outings,outing,outings,n
cheap,cheap,cheap,a
wine,wine,wine,n
tuesday,tuesday,tuesday,n
night,night,night,n
real,real,real,a
friends,friend,friends,n
freedom,freedom,freedom,n
freedom,freedom,freedom,n
video,video,video,n
kambiz,kambiz,kambiz,n
death,death,death,n
day,day,day,n
morbid,morbid,morbid,n
choreography,choreography,choreography,n
ind,ind,ind,n
board,board,board,n
plane,plane,plane,n
city,city,city,n
opportunistic,opportunistic,opportunistic,a
escape,escape,escape,n
agency,agency,agency,n
power,power,power,n
ambitions,ambition,ambitions,n
months,month,months,n
wanderer,wanderer,wanderer,a
kind,kind,kind,n
arrest,arrest,arrest,n
papers,paper,papers,n
sent,sent,sent,a
evin,evin,evin,n
larger,larger,large,a
prison,prison,prison,n
tehran,tehran,tehran,n
dentist,dentist,dentist,a
inspires,inspires,inspires,n
patient,patient,patient,n
risk,risk,risk,n
job,job,job,n
freedom,freedom,freedom,n
fugitive,fugitive,fugitive,a
family,family,family,n
front,front,front,a
tribunal,tribunal,tribunal,a
asylum,asylum,asylum,n
officers,officer,officers,n
unhappy,unhappy,unhappy,a
white,white,white,a
men,men,men,n
birthrights,birthright,birthrights,n
iran,iran,iran,n
guilty,guilty,guilty,a
credible,credible,credible,a
threat,threat,threat,n
death,death,death,n
triplicate,triplicate,triplicate,a
ministry,ministry,ministry,n
intelligence,intelligence,intelligence,n
life,life,life,n
dare,dare,dare,a
question,question,question,n
great,great,great,a
temptation,temptation,temptation,n
roll,roll,roll,n
ladder,ladder,ladder,n
move,move,move,n
question,question,question,n
story,story,story,n
narrowest,narrowest,narrow,a
standards,standard,standards,n
match,match,match,n
peculiar,peculiar,peculiar,n
details,detail,details,n
true,true,true,a
story,story,story,n
guilty,guilty,guilty,a
business,business,business,n
iranians,iranian,iranians,n
main,main,main,a
problem,problem,problem,n
stellar,stellar,stellar,a
iranian,iranian,iranian,a
asylum,asylum,asylum,n
lawyer,lawyer,lawyer,n
london,london,london,a
rescue,rescue,rescue,n
tell,tell,tell,n
economic,economic,economic,a
migrant,migrant,migrant,n
terrible,terrible,terrible,a
respect,respect,respect,n
comfort,comfort,comfort,n
doctor,doctor,doctor,n
life,life,life,n
poverty,poverty,poverty,n
factory,factory,factory,n
work,work,work,n
knots,knot,knots,n
radical,radical,radical,a
desire,desire,desire,n
heart,heart,heart,n
equal,equal,equal,a
men,men,men,n
feminist,feminist,feminist,a
rebel,rebel,rebel,a
extreme,extreme,extreme,a
injustice,injustice,injustice,n
happy,happy,happy,a
claim,claim,claim,n
liberation,liberation,liberation,n
good,good,good,a
girl,girl,girl,n
serves,serf,serves,n
male,male,male,a
ambition,ambition,ambition,n
storyteller,storyteller,storyteller,n
question,question,question,n
stellar,stellar,stellar,n
asylum,asylum,asylum,n
lawyer,lawyer,lawyer,n
london,london,london,n
beheshtizadeh,beheshtizadeh,beheshtizadeh,a
former,former,former,a
runaway,runaway,runaway,n
teacher,teacher,teacher,n
archivist,archivist,archivist,n
kurdish,kurdish,kurdish,a
democratic,democratic,democratic,a
party,party,party,n
iran,iran,iran,n
outside,outside,outside,a
birmingham,birmingham,birmingham,n
accomplished,accomplished,accomplished,a
young,young,young,a
asylum,asylum,asylum,n
lawyers,lawyer,lawyers,n
legal,legal,legal,a
aid,aid,aid,n
lawyer,lawyer,lawyer,n
year,year,year,n
reasons,reason,reasons,n
numbers,number,numbers,n
answers,answer,answers,n
issues,issue,issues,n
points,point,points,n
context,context,context,a
imagine,imagine,imagine,a
time,time,time,n
lawyer,lawyer,lawyer,n
second,second,second,a
success,success,success,n
stories,story,stories,n
context,context,context,a
become,become,become,n
christian,christian,christian,a
expression,expression,expression,n
change,change,change,n
small,small,small,a
squint,squint,squint,n
eye,eye,eye,n
register,register,register,a
question,question,question,n
ask,ask,ask,n
biggest,biggest,big,a
stretch,stretch,stretch,n
imagination,imagination,imagination,n
underpaid,underpaid,underpaid,a
bureaucrats,bureaucrat,bureaucrats,n
insight,insight,insight,a
human,human,human,a
heart,heart,heart,n
true,true,true,a
enough,enough,enough,a
fiction,fiction,fiction,n
asylum,asylum,asylum,n
seeker,seeker,seeker,n
novels,novel,novels,n
death,death,death,n
time,time,time,n
raw,raw,raw,a
story,story,story,n
single,single,single,a
person,person,person,n
power,power,power,n
reality,reality,reality,a
start,start,start,n
middle,middle,middle,a
action,action,action,n
western,western,western,a
writers,writer,writers,n
western,western,western,a
logic,logic,logic,n
start,start,start,n
modern,modern,modern,a
iran,iran,iran,n
trained,trained,trained,a
logical,logical,logical,a
judgmental,judgmental,judgmental,a
demeanour,demeanour,demeanour,n
guard,guard,guard,n
manipulation,manipulation,manipulation,n
emotional,emotional,emotional,a
trickery,trickery,trickery,n
hard,hard,hard,a
penniless,penniless,penniless,n
fugitive,fugitive,fugitive,a
village,village,village,n
write,write,write,a
story,story,story,n
worthy,worthy,worthy,a
new,new,new,a
yorker,yorker,yorker,n
decide,decide,decide,a
looks,look,looks,n
settled,settled,settled,a
hagiographic,hagiographic,hagiographic,a
story,story,story,n
faith,faith,faith,a
power,power,power,n
jesus,jesus,jesus,n
christ,christ,christ,n
dutch,dutch,dutch,n
asylum,asylum,asylum,n
lawyer,lawyer,lawyer,n
marq,marq,marq,n
wijngaarden,wijngaarden,wijngaarden,a
tells,tell,tells,n
chinese,chinese,chinese,a
woman,woman,woman,n
sect,sect,sect,a
wijngaarden,wijngaarden,wijngaarden,a
case,case,case,n
first,first,first,a
rejection,rejection,rejection,n
better,better,good,a
people,people,people,n
poor,poor,poor,a
fugitive,fugitive,fugitive,a
village,village,village,n
right,right,right,a
wedge,wedge,wedge,n
sensory,sensory,sensory,a
details,detail,details,n
melodrama,melodrama,melodrama,a
write,write,write,a
story,story,story,n
worthy,worthy,worthy,a
new,new,new,a
yorker,yorker,yorker,n
nothing,nothing,nothing,n
greatest,greatest,great,a
writer,writer,writer,n
reach,reach,reach,n
lazy,lazy,lazy,a
cynical,cynical,cynical,a
reader,reader,reader,n
train,train,train,n
suburb,suburb,suburb,n
refugee,refugee,refugee,a
camp,camp,camp,n
poke,poke,poke,n
business,business,business,n
park,park,park,n
parvis,parvis,parvis,n
persian,persian,persian,a
restaurant,restaurant,restaurant,n
lawyer,lawyer,lawyer,n
families,family,families,n
lone,lone,lone,n
wanderers,wanderer,wanderers,n
suicides,suicide,suicides,n
efforts,effort,efforts,n
iranians,iranian,iranians,n
dutch,dutch,dutch,a
logic,logic,logic,n
injustices,injustice,injustices,n
detention,detention,detention,n
hegel,hegel,hegel,a
philosophers,philosopher,philosophers,n
lawyer,lawyer,lawyer,n
recent,recent,recent,a
conference,conference,conference,n
conversation,conversation,conversation,n
overhead,overhead,overhead,n
ind,ind,ind,n
lunchroom,lunchroom,lunchroom,n
ter,ter,ter,n
asylum,asylum,asylum,n
officer,officer,officer,n
today,today,today,n
real,real,real,a
true,true,true,a
political,political,political,a
dissident,dissident,dissident,n
communist,communist,communist,a
case,case,case,n
dutch,dutch,dutch,n
gruesome,gruesome,gruesome,a
things,thing,things,n
iranian,iranian,iranian,a
government,government,government,n
communists,communist,communists,n
drugs,drug,drugs,n
secret,secret,secret,a
dutch,dutch,dutch,n
persecute,persecute,persecute,n
communists,communist,communists,n
life,life,life,n
danger,danger,danger,n
dutch,dutch,dutch,a
force,force,force,n
gay,gay,gay,n
christian,christian,christian,a
case,case,case,n
tortured,tortured,tortured,a
individual,individual,individual,a
public,public,public,a
pillage,pillage,pillage,n
dissident,dissident,dissident,n
ordinary,ordinary,ordinary,a
rape,rape,rape,n
victim,victim,victim,n
tell,tell,tell,n
dina,dina,dina,n
western,western,western,a
country,country,country,n
soldiers,soldier,soldiers,n
case,case,case,n
joke,joke,joke,n
rapist,rapist,rapist,n
best,best,best,a
ask,ask,ask,a
please,please,please,n
sir,sir,sir,n
room,room,room,n
rape,rape,rape,n
group,group,group,n
rape,rape,rape,n
help,help,help,n
criminal,criminal,criminal,a
acknowledge,acknowledge,acknowledge,n
humanity,humanity,humanity,n
respect,respect,respect,a
criminal,criminal,criminal,a
treats,treat,treats,n
cow,cow,cow,n
stable,stable,stable,a
ind,ind,ind,n
former,former,former,a
communist,communist,communist,a
come,come,come,n
honest,honest,honest,n
man,man,man,n
case,case,case,n
bazi,bazi,bazi,a
years,year,years,n
iranian,iranian,iranian,a
jail,jail,jail,n
ways,way,ways,n
body,body,body,n
torture,torture,torture,n
museum,museum,museum,n
month,month,month,n
authorities,authority,authorities,n
stamp,stamp,stamp,a
years,year,years,n
iranian,iranian,iranian,a
jail,jail,jail,n
years,year,years,n
dutch,dutch,dutch,n
camp,camp,camp,n
briefly,briefly,briefly,n
phone,phone,phone,n
bill,bill,bill,n
pouri,pouri,pouri,a
mental,mental,mental,a
space,space,space,n
global,global,global,a
injustice,injustice,injustice,n
people,people,people,n
poor,poor,poor,a
war,war,war,n
countries,country,countries,n
world,world,world,n
labelled,labelled,labelled,a
liars,liar,liars,n
thing,thing,thing,n
bad,bad,bad,a
faith,faith,faith,a
life,life,life,n
death,death,death,n
situations,situation,situations,n
courts,court,courts,n
prisons,prison,prisons,n
iran,iran,iran,a
bad,bad,bad,a
days,day,days,n
human,human,human,a
rights,right,rights,n
detention,detention,detention,n
torture,torture,torture,n
rape,rape,rape,n
bad,bad,bad,a
faith,faith,faith,n
irrelevant,irrelevant,irrelevant,a
case,case,case,n
funny,funny,funny,a
things,thing,things,n
area,area,area,n
people,people,people,n
wrong,wrong,wrong,a
instincts,instinct,instincts,n
pouri,pouri,pouri,n
claim,claim,claim,n
guilt,guilt,guilt,a
dumb,dumb,dumb,a
reckless,reckless,reckless,n
home,home,home,n
adamant,adamant,adamant,a
law,law,law,n
forbids,forbids,forbids,n
officers,officer,officers,n
sexual,sexual,sexual,a
facts,fact,facts,n
photos,photo,photos,n
european,european,european,a
court,court,court,n
justice,justice,justice,n
officers,officer,officers,n
questions,question,questions,n
law,law,law,n
nuances,nuance,nuances,n
sunk,sunk,sunk,a
individual,individual,individual,a
asylum,asylum,asylum,n
officers,officer,officers,n
hang,hang,hang,n
case,case,case,n
big,big,big,a
showy,showy,showy,n
concrete,concrete,concrete,a
dangers,danger,dangers,n
good,good,good,a
faith,faith,faith,n
motivation,motivation,motivation,n
shrouk,shrouk,shrouk,a
el,el,el,n
attar,attar,attar,n
year,year,year,n
old,old,old,a
queer,queer,queer,n
egyptian,egyptian,egyptian,a
engineering,engineering,engineering,n
student,student,student,n
petition,petition,petition,n
uk,uk,uk,a
parliament,parliament,parliament,n
march,march,march,n
humiliation,humiliation,humiliation,n
describe,describe,describe,n
sexual,sexual,sexual,a
encounters,encounter,encounters,n
graphic,graphic,graphic,a
detail,detail,detail,n
asylum,asylum,asylum,n
officers,officer,officers,n
stops,stop,stops,n
mid,mid,mid,a
sentence,sentence,sentence,n
call,call,call,n
illegal,illegal,illegal,a
camp,camp,camp,a
friends,friend,friends,n
islam,islam,islam,a
war,war,war,n
dutch,dutch,dutch,n
complexity,complexity,complexity,n
problem,problem,problem,n
uneducated,uneducated,uneducated,a
trauma,trauma,trauma,n
victims,victim,victims,n
memory,memory,memory,a
rape,rape,rape,n
victims,victim,victims,n
know,know,know,a
part,part,part,n
houshiar,houshiar,houshiar,n
story,story,story,n
wedge,wedge,wedge,a
thing,thing,thing,n
asylum,asylum,asylum,a
officers,officer,officers,n
reason,reason,reason,n
blurt,blurt,blurt,n
question,question,question,n
iranian,iranian,iranian,a
social,social,social,a
rules,rule,rules,n
second,second,second,a
meaning,meaning,meaning,n
case,case,case,n
important,important,important,a
husband,husband,husband,n
gay,gay,gay,n
case,case,case,n
useful,useful,useful,a
gay,gay,gay,n
mean,mean,mean,n
tell,tell,tell,n
houshiar,houshiar,houshiar,n
iran,iran,iran,n
open,open,open,a
life,life,life,n
hamlet,hamlet,hamlet,n
countrymen,countryman,countrymen,n
simmer,simmer,simmer,n
stir,stir,stir,a
pot,pot,pot,n
houshiar,houshiar,houshiar,n
idea,idea,idea,n
suspect,suspect,suspect,n
young,young,young,a
people,people,people,n
give,give,give,a
gay,gay,gay,n
case,case,case,n
case,case,case,n
husband,husband,husband,n
applies,applies,applies,n
christian,christian,christian,a
story,story,story,n
gay,gay,gay,n
story,story,story,n
essential,essential,essential,a
truth,truth,truth,n
life,life,life,n
iran,iran,iran,n
day,day,day,n
crosses,cross,crosses,n
wrong,wrong,wrong,a
person,person,person,n
assign,assign,assign,a
story,story,story,n
case,case,case,n
shape,shape,shape,n
future,future,future,a
days,day,days,n
whole,whole,whole,a
arc,arc,arc,a
birth,birth,birth,n
death,death,death,n
grows,grows,grows,n
cluster,cluster,cluster,n
days,day,days,n
life,life,life,n
iranians,iranian,iranians,n
miracles,miracle,miracles,n
visits,visit,visits,n
prophetic,prophetic,prophetic,a
dreams,dream,dreams,n
case,case,case,n
writer,writer,writer,n
enough,enough,enough,a
fact,fact,fact,n
disproportionate,disproportionate,disproportionate,a
context,context,context,a
attention,attention,attention,n
lie,lie,lie,a
life,life,life,n
day,day,day,n
war,war,war,n
childhood,childhood,childhood,n
houshiar,houshiar,houshiar,n
manages,manages,manages,n
detention,detention,detention,n
years,year,years,n
recent,recent,recent,a
court,court,court,n
decision,decision,decision,n
luxembourg,luxembourg,luxembourg,n
years,year,years,n
heavy,heavy,heavy,a
sensation,sensation,sensation,n
days,day,days,n
returns,return,returns,n
case,case,case,n
nostalgic,nostalgic,nostalgic,a
old,old,old,a
life,life,life,n
way,way,way,n
dam,dam,dam,n
square,square,square,n
memorial,memorial,memorial,a
offices,office,offices,n
frank,frank,frank,a
van,van,van,a
haren,haren,haren,n
asylum,asylum,asylum,n
lawyer,lawyer,lawyer,n
stories,story,stories,n
dinner,dinner,dinner,n
last,last,last,a
night,night,night,n
pooyan,pooyan,pooyan,a
wife,wife,wife,n
kambiz,kambiz,kambiz,n
diary,diary,diary,a
days,day,days,n
death,death,death,n
approach,approach,approach,n
place,place,place,n
kambiz,kambiz,kambiz,n
alight,alight,alight,a
hear,hear,hear,n
farsi,farsi,farsi,a
speak,speak,speak,a
death,death,death,n
mention,mention,mention,n
kambiz,kambiz,kambiz,n
talk,talk,talk,n
sensation,sensation,sensation,n
death,death,death,n
pain,pain,pain,n
communist,communist,communist,a
islamic,islamic,islamic,a
republic,republic,republic,n
jailed,jailed,jailed,a
friends,friend,friends,n
day,day,day,n
week,week,week,n
lawyer,lawyer,lawyer,n
enough,enough,enough,a
lawyer,lawyer,lawyer,n
lawyer,lawyer,lawyer,n
young,young,young,a
woman,woman,woman,n
homeless,homeless,homeless,a
